id,name,category,price
8907546684997,zudio Mens Ethnic Legwear Black,Mens Wear,8.42
8907546777712,zudio Girls Graphic Tees Grape Royale,Kids Wear,1.19
8909001065877,zudio Girls Graphic Tees Lime Punch,Kids Wear,1.19
8909001065884,zudio Girls Graphic Tees Lime Punch,Kids Wear,1.19
8909001115657,zudio Womens Skirts Black,Womens Westernwear,9.63
8909001115664,zudio Womens Skirts Black,Womens Westernwear,9.63
8909001115688,zudio Womens Skirts Black,Womens Westernwear,9.63
8909001124765,zudio Uss Knits Shaded Spruce,Mens Wear,2.4
8909001124772,zudio Uss Knits Shaded Spruce,Mens Wear,2.4
8909001124789,zudio Uss Knits Shaded Spruce,Mens Wear,2.4
8909001283523,zudio Womens Tregging Black,Womens Westernwear,10.83
8909001283578,zudio Womens Tregging Black,Womens Westernwear,10.83
8909001284063,zudio Womens Tregging Black,Womens Westernwear,10.83
8909001294765,zudio Womens Essential Tees Walnut,Womens Westernwear,2.4
8909001309254,zudio Womens Active Legwear Black,Womens Westernwear,7.82
8909001338759,zudio Boys Graphic Tees Aloe Wash,Kids Wear,1.8
8909001339411,zudio Boys Graphic Tees Aloe Wash,Kids Wear,2.04
8909001354520,zudio Boys Core Tees Black,Kids Wear,1.8
8909001355145,zudio Boys Core Tees Black,Kids Wear,1.8
8909001355503,zudio Boys Core Tees Pewter,Kids Wear,2.76
8907546829138,zudio Womens Active Legwear Black,Womens Westernwear,6.02
8909001991251,zudio Yw Jacket Olive,Womens Westernwear,6.02
8909404093835,zudio Nerd Flat Knits Cloud Dancer,Mens Wear,6.02
8909001990490,zudio Yw Jacket Ocean Blue,Womens Westernwear,6.02
8907546021228,Ethnicity Fusion Topwear Pirate Black,Bo Apparel,6.02
8909404086936,zudio Womens Dress Mid Blue,Womens Westernwear,6.02
8909001188644,zudio Dd Polo Canyon Clay,Mens Wear,6.02
8909404139441,zudio Dd Polo Black Coffee,Mens Wear,6.02
8909404231152,zudio Smart Varsity Polo Fig,Mens Wear,6.02
